Naziv;Ime in priimek;FideID;Država;ELO;Spol;Kategorija
GM;Epishin Vladimir ;4162714;RUS;2564;;S50
GM;Vorobiov Evgeny ;4121341;RUS;2556;;
IM;Gholami Aryan ;12513342;IRI;2530;;U18
GM;Burmakin Vladimir ;4105109;RUS;2526;;S50
GM;Marcelin Cyril ;607274;FRA;2439;;
IM;Kilgus Georg ;1606212;AUT;2426;;
IM;Schenk Andreas ;4644891;GER;2424;;
GM;Siddharth Jagadeesh ;5818320;SGP;2416;;U14
GM;Neelotpal Das ;5003512;IND;2410;;
FM;Webersberger Johann  DI. Msc.;1611100;AUT;2378;;
GM;Ristic Nenad ;901318;SRB;2376;;S50
GM;Okhotnik Vladimir ;14101289;FRA;2367;;S65
FM;Thakur Akash ;5008514;IND;2311;;
IM;Sangma Rahul ;5013615;IND;2298;;
FM;Neuschmied Siegfried ;1602446;AUT;2295;;S50
;Bokelbrink Uwe ;4603893;GER;2285;;S50
IM;Kolbus Dietmar ;4610628;GER;2277;;S50
NM;Wohlfahrt Herbert ;1601946;AUT;2273;;
WIM;Muetsch Annmarie ;12971367;GER;2266;w;U18
FM;Svanda Ondrej ;359670;CZE;2261;;U18
;Bernardi Ruben ;804428;ITA;2182;;S50
FM;Gatterer Florian  MMag.;811688;ITA;2179;;
FM;Pilz Dieter ;1600532;AUT;2152;;S50
;Kücher Wolfgang ;1617435;AUT;2141;;
WFM;Makhija Aashna ;25011944;IND;2116;w;U18
;Kruckenhauser Arthur ;1642812;AUT;2106;;U18
IM;Peric Slavisa ;908126;SRB;2104;;S65
;Sarvadh Sathiaram ;46636579;IND;2103;;U14
MK;Sucher Johannes  Mag.;1603906;AUT;2099;;S50
;Kornitzky Tino ;12970379;GER;2098;;U18
;Mahitosh Dey ;25091468;IND;2072;;U14
;Viaggi Stefano ;867284;ITA;2027;;S50
;Neurauter Daniel ;1624431;AUT;2021;;
;Wischounig Laurin ;1648209;AUT;2002;;U18
